,geometry,x,y
0,"(34.77042983307763, 32.066656721293185)",34.77042983307763,32.066656721293185
1,"(34.786740853819786, 32.09131801868587)",34.786740853819786,32.09131801868587
2,"(34.7859781842118, 32.08765291534719)",34.7859781842118,32.08765291534719
3,"(34.78160909902498, 32.07322377385222)",34.78160909902498,32.07322377385222
4,"(34.77355821857374, 32.061159906561535)",34.77355821857374,32.061159906561535
5,"(34.77763768582824, 32.06511005491961)",34.77763768582824,32.06511005491961
6,"(34.79148860640595, 32.093754607158445)",34.79148860640595,32.093754607158445
7,"(34.77551624470471, 32.06863808666825)",34.77551624470471,32.06863808666825
8,"(34.787666375073975, 32.093906757149924)",34.787666375073975,32.093906757149924
9,"(34.773927861388316, 32.07212640967505)",34.773927861388316,32.07212640967505
10,"(34.7803277444838, 32.08966222685144)",34.7803277444838,32.08966222685144
11,"(34.77618830451, 32.07495720532816)",34.77618830451,32.07495720532816
12,"(34.77531113410277, 32.089097671775434)",34.77531113410277,32.089097671775434
13,"(34.78133791410217, 32.084159477156994)",34.78133791410217,32.084159477156994
14,"(34.77386338688306, 32.05962054238701)",34.77386338688306,32.05962054238701
15,"(34.7699310535032, 32.062414485289764)",34.7699310535032,32.062414485289764
16,"(34.80405700935374, 32.12428716391949)",34.80405700935374,32.12428716391949
17,"(34.82234121598072, 32.11824363181753)",34.82234121598072,32.11824363181753
18,"(34.79188329534586, 32.05002453703751)",34.79188329534586,32.05002453703751
19,"(34.78819966290875, 32.05394791591069)",34.78819966290875,32.05394791591069
20,"(34.82090121111232, 32.107037671074394)",34.82090121111232,32.107037671074394
21,"(34.805806301556856, 32.061078153887316)",34.805806301556856,32.061078153887316
22,"(34.83276493986516, 32.10991231055415)",34.83276493986516,32.10991231055415
23,"(34.76568960868657, 32.040464703946654)",34.76568960868657,32.040464703946654
24,"(34.79943595526177, 32.095381924323924)",34.79943595526177,32.095381924323924
25,"(34.75256438119987, 32.0479190131877)",34.75256438119987,32.0479190131877
26,"(34.76833731935678, 32.07661369028999)",34.76833731935678,32.07661369028999
27,"(34.768258304468034, 32.07439693344175)",34.768258304468034,32.07439693344175
28,"(34.77054624495385, 32.080715691822036)",34.77054624495385,32.080715691822036
29,"(34.77074319515203, 32.0818270695249)",34.77074319515203,32.0818270695249
30,"(34.79172293111403, 32.10394275666596)",34.79172293111403,32.10394275666596
31,"(34.77411904198535, 32.09002268425419)",34.77411904198535,32.09002268425419
32,"(34.83962034659464, 32.11828220495203)",34.83962034659464,32.11828220495203
33,"(34.79220525033403, 32.13055598550853)",34.79220525033403,32.13055598550853
34,"(34.80059565842754, 32.07694240549585)",34.80059565842754,32.07694240549585
35,"(34.78225752306297, 32.07529510654843)",34.78225752306297,32.07529510654843
36,"(34.77571397984682, 32.07521146584613)",34.77571397984682,32.07521146584613
37,"(34.798460273035936, 32.12530378705722)",34.798460273035936,32.12530378705722
38,"(34.79660023736044, 32.11248355167027)",34.79660023736044,32.11248355167027
39,"(34.77932131045569, 32.056354994797275)",34.77932131045569,32.056354994797275
40,"(34.79114054926281, 32.07390736170067)",34.79114054926281,32.07390736170067
41,"(34.82584953120069, 32.114595881847684)",34.82584953120069,32.114595881847684
42,"(34.773588091837674, 32.081698710831354)",34.773588091837674,32.081698710831354
43,"(34.78912315448834, 32.08490511188055)",34.78912315448834,32.08490511188055
44,"(34.77702455651456, 32.06827755175642)",34.77702455651456,32.06827755175642
45,"(34.79745264394966, 32.11732952763261)",34.79745264394966,32.11732952763261
46,"(34.78975526789865, 32.08135390570245)",34.78975526789865,32.08135390570245
47,"(34.78229395503353, 32.08690434052575)",34.78229395503353,32.08690434052575
48,"(34.773529040819106, 32.062403140632924)",34.773529040819106,32.062403140632924
49,"(34.759246292484, 32.05048386997053)",34.759246292484,32.05048386997053
50,"(34.791233720732436, 32.06095167229968)",34.791233720732436,32.06095167229968
51,"(34.79717647730467, 32.088792361733994)",34.79717647730467,32.088792361733994
52,"(34.769657311300776, 32.06377988340358)",34.769657311300776,32.06377988340358
53,"(34.780131303434864, 32.05676391098706)",34.780131303434864,32.05676391098706
54,"(34.78958487195323, 32.08063719335249)",34.78958487195323,32.08063719335249
55,"(34.77019544978149, 32.08099684861085)",34.77019544978149,32.08099684861085
56,"(34.838829059899645, 32.10811396147499)",34.838829059899645,32.10811396147499
57,"(34.816601258641846, 32.12334135063202)",34.816601258641846,32.12334135063202
58,"(34.76136248724498, 32.03531352756224)",34.76136248724498,32.03531352756224
59,"(34.77513201438057, 32.08705982252329)",34.77513201438057,32.08705982252329
60,"(34.77117080226091, 32.06809769927887)",34.77117080226091,32.06809769927887
61,"(34.77385025511287, 32.09012951640219)",34.77385025511287,32.09012951640219
62,"(34.76849685489905, 32.07344886636573)",34.76849685489905,32.07344886636573
63,"(34.7851286678288, 32.06862238473203)",34.7851286678288,32.06862238473203
64,"(34.79366918167507, 32.068422198481976)",34.79366918167507,32.068422198481976
65,"(34.787604657224556, 32.071337343782254)",34.787604657224556,32.071337343782254
66,"(34.83986001743491, 32.109231324191704)",34.83986001743491,32.109231324191704
67,"(34.78242247247112, 32.09104893569833)",34.78242247247112,32.09104893569833
68,"(34.82392495054287, 32.12285644251111)",34.82392495054287,32.12285644251111
69,"(34.787183792188486, 32.11238204442385)",34.787183792188486,32.11238204442385
70,"(34.7756602870897, 32.09733057419126)",34.7756602870897,32.09733057419126
71,"(34.776653704003394, 32.06319425010864)",34.776653704003394,32.06319425010864
72,"(34.798159696771165, 32.07402892068884)",34.798159696771165,32.07402892068884
73,"(34.77359022790201, 32.077693341114205)",34.77359022790201,32.077693341114205
74,"(34.770643092628625, 32.0563577630614)",34.770643092628625,32.0563577630614
75,"(34.781673966630315, 32.07935578701705)",34.781673966630315,32.07935578701705
76,"(34.793156327190474, 32.077426187294535)",34.793156327190474,32.077426187294535
77,"(34.777006683875676, 32.04791431121705)",34.777006683875676,32.04791431121705
78,"(34.78241058948479, 32.06948132628321)",34.78241058948479,32.06948132628321
79,"(34.79360836474376, 32.12347569243279)",34.79360836474376,32.12347569243279
80,"(34.766208388976374, 32.05537801010646)",34.766208388976374,32.05537801010646
81,"(34.837347704588396, 32.1095662596049)",34.837347704588396,32.1095662596049
82,"(34.77944865251594, 32.07690765569521)",34.77944865251594,32.07690765569521
