,geometry,x,y
0,"(34.790259756694, 32.10812820184408)",34.790259756694,32.10812820184408
1,"(34.784812999432305, 32.08854244352671)",34.784812999432305,32.08854244352671
2,"(34.794272096469236, 32.12563548292588)",34.794272096469236,32.12563548292588
3,"(34.78637968904724, 32.101471019619645)",34.78637968904724,32.101471019619645
4,"(34.78470188636309, 32.0925735999618)",34.78470188636309,32.0925735999618
5,"(34.8348841711675, 32.12688152771546)",34.8348841711675,32.12688152771546
6,"(34.78535478385101, 32.11363161195678)",34.78535478385101,32.11363161195678
7,"(34.7650579403958, 32.056554272576186)",34.7650579403958,32.056554272576186
8,"(34.78435366272369, 32.06916412027391)",34.78435366272369,32.06916412027391
9,"(34.78160264805085, 32.08898320470607)",34.78160264805085,32.08898320470607
10,"(34.79894058826516, 32.106416026821634)",34.79894058826516,32.106416026821634
11,"(34.798100284127386, 32.11903036757032)",34.798100284127386,32.11903036757032
12,"(34.797581623430005, 32.114557301893214)",34.797581623430005,32.114557301893214
13,"(34.80179976486365, 32.1279332149636)",34.80179976486365,32.1279332149636
14,"(34.78443179783439, 32.07229719348921)",34.78443179783439,32.07229719348921
15,"(34.79799857057328, 32.0884548474803)",34.79799857057328,32.0884548474803
16,"(34.80071903797721, 32.12203996557288)",34.80071903797721,32.12203996557288
17,"(34.78360870975479, 32.060563896941865)",34.78360870975479,32.060563896941865
18,"(34.76482239919345, 32.04380439020632)",34.76482239919345,32.04380439020632
19,"(34.8133661631333, 32.11791936760756)",34.8133661631333,32.11791936760756
20,"(34.81938812596447, 32.11151405030778)",34.81938812596447,32.11151405030778
21,"(34.814608925655065, 32.11284624577513)",34.814608925655065,32.11284624577513
22,"(34.817090872405096, 32.12226974550755)",34.817090872405096,32.12226974550755
23,"(34.7952093977578, 32.11029378225534)",34.7952093977578,32.11029378225534
24,"(34.80090459695868, 32.04587881106353)",34.80090459695868,32.04587881106353
25,"(34.77951160851656, 32.05303191141573)",34.77951160851656,32.05303191141573
26,"(34.78435746891819, 32.060615437855546)",34.78435746891819,32.060615437855546
27,"(34.83396439604498, 32.10997164509813)",34.83396439604498,32.10997164509813
28,"(34.84201055334695, 32.11712245580661)",34.84201055334695,32.11712245580661
29,"(34.838528254486796, 32.12352701474571)",34.838528254486796,32.12352701474571
30,"(34.83785559397647, 32.1160181652198)",34.83785559397647,32.1160181652198
31,"(34.78163536567392, 32.094760333144315)",34.78163536567392,32.094760333144315
32,"(34.773359214386005, 32.092060183252364)",34.773359214386005,32.092060183252364
33,"(34.776925844344476, 32.08504510196043)",34.776925844344476,32.08504510196043
34,"(34.77170586358953, 32.07924161044743)",34.77170586358953,32.07924161044743
35,"(34.77811341456452, 32.075491332050426)",34.77811341456452,32.075491332050426
36,"(34.79632182741441, 32.09560955135411)",34.79632182741441,32.09560955135411
37,"(34.78844813036208, 32.08989250107372)",34.78844813036208,32.08989250107372
38,"(34.784934317760815, 32.080836445459134)",34.784934317760815,32.080836445459134
