,geometry,x,y
0,"(34.785495095803874, 32.07167011132333)",34.785495095803874,32.07167011132333
1,"(34.787009154414676, 32.07223072859498)",34.787009154414676,32.07223072859498
2,"(34.78790964523173, 32.07236120718109)",34.78790964523173,32.07236120718109
3,"(34.78597452832146, 32.072078320984474)",34.78597452832146,32.072078320984474
4,"(34.78557845032989, 32.0721859650074)",34.78557845032989,32.0721859650074
5,"(34.78595660882407, 32.07260878059554)",34.78595660882407,32.07260878059554
6,"(34.78841079676237, 32.071896669765025)",34.78841079676237,32.071896669765025
7,"(34.785510272962775, 32.072316118648786)",34.785510272962775,32.072316118648786
8,"(34.78590633175661, 32.072300680088176)",34.78590633175661,32.072300680088176
9,"(34.785665328659704, 32.071999790262865)",34.785665328659704,32.071999790262865
10,"(34.785702957107745, 32.07174478685133)",34.785702957107745,32.07174478685133
11,"(34.78514523248132, 32.071831506203644)",34.78514523248132,32.071831506203644
12,"(34.78524551199105, 32.0720810814388)",34.78524551199105,32.0720810814388
13,"(34.785079016431254, 32.072198249005844)",34.785079016431254,32.072198249005844
14,"(34.78508560627634, 32.07231124283957)",34.78508560627634,32.07231124283957
15,"(34.78508349377159, 32.07243924088335)",34.78508349377159,32.07243924088335
16,"(34.78849547178168, 32.07158037933892)",34.78849547178168,32.07158037933892
17,"(34.78864760935068, 32.07158145011559)",34.78864760935068,32.07158145011559
18,"(34.7887842513107, 32.07174920458387)",34.7887842513107,32.07174920458387
19,"(34.78893458885475, 32.07176719447106)",34.78893458885475,32.07176719447106
20,"(34.78525155254713, 32.0716454664159)",34.78525155254713,32.0716454664159
21,"(34.78554477307371, 32.071989561497716)",34.78554477307371,32.071989561497716
22,"(34.785387591373734, 32.07164208104554)",34.785387591373734,32.07164208104554
23,"(34.78952890415261, 32.07254262667069)",34.78952890415261,32.07254262667069
24,"(34.789473812836675, 32.0725472362511)",34.789473812836675,32.0725472362511
25,"(34.786791926616495, 32.070623660055766)",34.786791926616495,32.070623660055766
26,"(34.78727399670334, 32.07062966207733)",34.78727399670334,32.07062966207733
27,"(34.78633943223218, 32.07064937886186)",34.78633943223218,32.07064937886186
28,"(34.78684868261762, 32.07224762575934)",34.78684868261762,32.07224762575934
29,"(34.788129120878686, 32.07101009499942)",34.788129120878686,32.07101009499942
30,"(34.785935054029316, 32.07121434960937)",34.785935054029316,32.07121434960937
31,"(34.78588584471115, 32.07126402897584)",34.78588584471115,32.07126402897584
32,"(34.785835198257026, 32.0720340871004)",34.785835198257026,32.0720340871004
33,"(34.78562003294464, 32.072107589438055)",34.78562003294464,32.072107589438055
34,"(34.785890521325115, 32.07189653715363)",34.785890521325115,32.07189653715363
35,"(34.7860137808223, 32.072192948927835)",34.7860137808223,32.072192948927835
36,"(34.785698182839695, 32.072311161554815)",34.785698182839695,32.072311161554815
37,"(34.78596060942733, 32.071755575964374)",34.78596060942733,32.071755575964374
38,"(34.78527375278976, 32.072201653783665)",34.78527375278976,32.072201653783665
39,"(34.78484938329428, 32.07248989562383)",34.78484938329428,32.07248989562383
40,"(34.788586603964255, 32.071240829813675)",34.788586603964255,32.071240829813675
41,"(34.78514703064217, 32.07162999262006)",34.78514703064217,32.07162999262006
42,"(34.785153804778666, 32.071026399346025)",34.785153804778666,32.071026399346025
43,"(34.78515268569859, 32.0709137271239)",34.78515268569859,32.0709137271239
44,"(34.786869965552995, 32.07069623602361)",34.786869965552995,32.07069623602361
45,"(34.79596086097806, 32.07505504456729)",34.79596086097806,32.07505504456729
46,"(34.80050073985212, 32.072956404443694)",34.80050073985212,32.072956404443694
47,"(34.79918256132452, 32.073753783550266)",34.79918256132452,32.073753783550266
48,"(34.795885393239665, 32.07487216810105)",34.795885393239665,32.07487216810105
49,"(34.79905222762325, 32.073366071288916)",34.79905222762325,32.073366071288916
50,"(34.80034485541816, 32.07300637093003)",34.80034485541816,32.07300637093003
51,"(34.79462165268781, 32.073831757404456)",34.79462165268781,32.073831757404456
52,"(34.79458022169639, 32.07403977062542)",34.79458022169639,32.07403977062542
